% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=498081, Mon Aug  4 22:50:01 2025, <python>{}</python>
1 5 5.303183032702839 1.0000400008000108 -0.6069399799063222 -6.0693997990632220e-01 -0.08496065925196578 -5.161748930503622e-09 0.24604620705083946   
2 10 5.4329876225097244 1.2254193854463797 -0.6069399799063222 -5.2973380353995507e-02 -0.00034383514959641893 -5.524009029505293e-10 0.01701351227866466   
3 15 6.8121687098342685 1.3250957092558018 -1.6617214603158528 -1.6617214603158528e+00 -0.0008355356471472944 -5.456727778503466e-07 0.46543227944692195   
4 20 5.868515181022657 1.5355505989773655 -1.6617214603158528 -7.9662205657400328e-02 -0.033012284151659924 -0.00011482995583587591 0.07038177299074093   
5 25 4.612367800558282 1.6970909120542417 -1.6617214603158528 -2.4958305065664418e-01 -0.035468010547014116 -1.382480242352048e-09 0.23768973724568704   
6 30 4.671858950663649 1.7623055960696052 -1.6617214603158528 -6.0003745504533101e-01 -0.0036055393462412935 -8.17116666628889e-08 0.2102764175519485   
7 35 3.830621780759287 1.669015499137483 -1.6617214603158528 -2.0425707147682615e-01 -0.03321296002346097 -2.3551708944359854e-05 0.09041595546261648   
8 40 4.068230695798793 1.6745026749482985 -1.6617214603158528 -4.4186628376371295e-01 -0.002604191469626586 -1.8414815620084404e-06 0.14845684242695387   
9 45 5.112602577718595 1.6835937152277498 -1.6617214603158528 -1.0767120921015327e-01 -0.00010369863452440758 -6.279092803235947e-10 0.027008646074562666   
10 50 6.1010130485459255 1.9612192135001552 -1.6617214603158528 -7.8207015966246796e-01 -0.0037204995483158163 -4.1366681790339914e-05 0.201671570308741   
11 55 6.661953784596552 2.284855552894206 -1.6617214603158528 -4.9711781590795151e-01 -0.2740555004571519 -3.986135096618484e-09 0.3901755831057569   
12 60 6.1156959534443756 2.353559245166378 -1.6617214603158528 -9.7930834596576921e-01 -0.10032245625134523 -0.005161269072690109 0.34696988593246425   
13 65 6.917027480800746 2.2565510780538998 -1.6617214603158528 -1.5673188681121020e-01 -0.002618492669956407 -1.1354575092743037e-06 0.041136444568351214   
14 70 7.377335301929727 2.116737264448228 -1.6617214603158528 -3.5238008951357175e-02 -0.005713821195114964 -1.4784110154440966e-06 0.014326827031548507   
15 75 8.301257595031586 2.015813070282326 -1.6617214603158528 -2.8243142024214379e-01 -0.008366227183275957 -2.8342605689429988e-05 0.10536732140214594   
16 80 8.399522953956007 2.184451521758159 -1.6617214603158528 -4.8633043736803272e-01 -0.01055740185491539 -0.00024625722180333383 0.24136011450304523   
17 85 7.196262508820787 2.0915123291846762 -1.6617214603158528 -4.0267094986199792e-01 -0.01953941657162817 -0.0025640783278718183 0.2744736087585189   
18 90 6.255761591715001 2.1797385258015605 -1.6617214603158528 -9.1495281754968372e-01 -0.017785554607142446 -1.842860147351592e-05 0.25914856620820337   
19 95 5.753581927581555 2.2315080843882327 -1.6617214603158528 -3.8455553874353968e-02 -0.0029983419715511575 -0.00018194898957699644 0.013539684724274898   
20 100 5.582750648258154 2.124769518433265 -1.6617214603158528 -2.1120558065681452e-01 -0.023416313048420886 -0.0013602190791507044 0.17778480037225508   
