% # columns="iteration, evaluation, void, void, void, xmean", seed=498081, Mon Aug  4 22:50:01 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 5 0 0 0 27.595542591850347 1.7869220019683048 -3.691621825720502 0.5621722088492696 0.24731723473954814
2 10 0 0 0 63.37994463060533 2.109627016786882 -2.6673194631825736 1.3175245313051542 1.1363469563065918
3 15 0 0 0 94.64035866249961 2.6663244181931276 -2.9171858355634384 2.2302265847377694 2.1518928497096454
4 20 0 0 0 13.323759963619795 1.7895411639776824 -3.102459145833551 1.5266518351878409 0.7097929957978799
5 25 0 0 0 36.163305613892625 1.8557344143788632 -3.3931224171472074 0.9312268723134722 0.8017119676424646
6 30 0 0 0 8.002241374013083 2.0375055722161592 -3.473645051170875 0.5961636487585343 1.2540607944634883
7 35 0 0 0 38.98076957070498 1.6102321375880817 -2.7535682803807964 0.9108259254761505 0.7626486693345141
8 40 0 0 0 61.18698745723603 2.2644674677935006 -2.989233652328438 0.7048782549045407 0.5702864142619828
9 45 0 0 0 95.89662545331868 2.5503078185481565 -3.7545368294028405 0.8577749571570676 0.28677435553606445
10 50 0 0 0 110.42007950662298 3.076678716128308 -5.450787356532185 0.7175077833826797 0.40334475500219535
11 55 0 0 0 109.25691286539309 2.83645262752194 -6.4302501418589095 1.212242689798529 1.5091694793265706
12 60 0 0 0 97.79214428892064 2.603110863566619 -6.482530894171262 0.6939042987495505 1.5000621476974683
13 65 0 0 0 96.88199817534269 2.6321871020247274 -8.381321501037801 -0.278743450391872 1.416453527396759
14 70 0 0 0 65.81274030711825 3.024919681161907 -9.391291435341625 -0.5336176723843882 1.330430633255808
15 75 0 0 0 97.87515773920344 3.725047243158329 -12.307638050909215 -0.6389530474156262 1.7282701949845165
16 80 0 0 0 110.89702890028192 4.207735605334488 -12.433685675151526 -0.09156143939088884 2.078155377551831
17 85 0 0 0 95.89860153531868 3.9492653653488157 -12.571110642319027 -0.353410729568762 2.2710722457311974
18 90 0 0 0 91.50346458289005 4.098915893084238 -12.21811873851193 -0.13389385620416502 2.6927383398271196
19 95 0 0 0 86.21246200140746 3.948814151931124 -11.157369229187214 -0.956879544405571 1.967470477579123
20 100 0 0 0 75.63663975464593 3.9202558645054033 -10.197933947612558 -1.1145268637013441 2.0258315780323457
